_id,jteid,persid,hhid,starthour,startime,arrhour,arrtime,dephour,deptime,jtetraveltime,jte_at,jteelapsedtime,jtedist,origLGA,destLGA,destplace,jtemode,dist1,dist2,dist3,dist4,dist5,dist6,dist7,dist8,dist9,dur1,dur2,dur3,dur4,dur5,dur6,dur7,dur8,dur9,mode1,mode2,mode3,mode4,mode5,mode6,mode7,mode8,mode9,place1,place2,place3,place4,place5,place6,place7,place8,place9,purp1,purp2,purp3,purp4,purp5,purp6,purp7,purp8,purp9,stop1,stop2,stop3,stop4,stop5,stop6,stop7,stop8,stop9,time1,time2,time3,time4,time5,time6,time7,time8,time9,wdjtewgt_LGA,wejtewgt_LGA
1,Y12H0000101P03JTE1,Y12H0000101P03,Y12H0000101,8,500,8,520,15,940,20,0,20,3.92,Whittlesea (C),Whittlesea (C),Primary School,Vehicle Passenger,3.92,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,420,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Vehicle Passenger,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Primary School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Education,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y12H0000101P03S01,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,110.6,
2,Y12H0000101P04JTE1,Y12H0000101P04,Y12H0000101,8,500,8,520,15,940,20,0,20,3.92,Whittlesea (C),Whittlesea (C),Primary School,Vehicle Passenger,3.92,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,420,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Vehicle Passenger,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Primary School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Education,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y12H0000101P04S01,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,109.17,
3,Y12H0000103P03JTE1,Y12H0000103P03,Y12H0000103,8,480,8,500,15,920,20,0,20,6.41,Whittlesea (C),Whittlesea (C),Secondary School,Vehicle Passenger,6.41,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,420,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Vehicle Passenger,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Secondary School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Education,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y12H0000103P03S01,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,93.64,
4,Y12H0000103P04JTE1,Y12H0000103P04,Y12H0000103,8,480,8,500,15,920,20,0,20,6.41,Whittlesea (C),Whittlesea (C),Secondary School,Vehicle Passenger,6.41,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,420,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Vehicle Passenger,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Secondary School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Education,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y12H0000103P04S01,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,93.64,
5,Y12H0000111P03JTE1,Y12H0000111P03,Y12H0000111,7,465,8,485,15,930,20,0,20,13.52,Whittlesea (C),Banyule (C),Secondary School,Public Bus,2.33,11.02,0.17,N/A,N/A,N/A,N/A,N/A,N/A,0,0,445,N/A,N/A,N/A,N/A,N/A,N/A,Vehicle Passenger,Public Bus,Walking,N/A,N/A,N/A,N/A,N/A,N/A,Bus Stop,Bus Stop,Secondary School,N/A,N/A,N/A,N/A,N/A,N/A,Change Mode,Change Mode,Education,N/A,N/A,N/A,N/A,N/A,N/A,Y12H0000111P03S01,Y12H0000111P03S02,Y12H0000111P03S03,N/A,N/A,N/A,N/A,N/A,N/A,5,14,1,N/A,N/A,N/A,N/A,N/A,N/A,114.34,
6,Y12H0000111P04JTE1,Y12H0000111P04,Y12H0000111,7,470,8,513,15,927,43,0,43,10.2,Whittlesea (C),Whittlesea (C),Secondary School,School Bus,1.53,8.64,0.03,N/A,N/A,N/A,N/A,N/A,N/A,5,0,414,N/A,N/A,N/A,N/A,N/A,N/A,Walking,School Bus,Walking,N/A,N/A,N/A,N/A,N/A,N/A,Bus Stop,Bus Stop,Secondary School,N/A,N/A,N/A,N/A,N/A,N/A,Change Mode,Change Mode,Education,N/A,N/A,N/A,N/A,N/A,N/A,Y12H0000111P04S01,Y12H0000111P04S02,Y12H0000111P04S03,N/A,N/A,N/A,N/A,N/A,N/A,21,14,3,N/A,N/A,N/A,N/A,N/A,N/A,118.75,
7,Y12H0000126P02JTE1,Y12H0000126P02,Y12H0000126,8,500,8,535,12,750,35,0,35,4.18,Whittlesea (C),Whittlesea (C),Tertiary,Vehicle Driver,0.95,3.23,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,215,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Vehicle Driver,Vehicle Driver,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Primary School,Tertiary,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Pick-up or Drop-off Someone,Education,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y12H0000126P02S01,Y12H0000126P02S02,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,25,N/A,N/A,N/A,N/A,N/A,N/A,N/A,73.35,
8,Y12H0000126P03JTE1,Y12H0000126P03,Y12H0000126,8,500,8,510,15,925,10,0,10,0.95,Whittlesea (C),Whittlesea (C),Primary School,Vehicle Passenger,0.95,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,415,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Vehicle Passenger,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Primary School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Education,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y12H0000126P03S01,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,109.03,
9,Y12H0000126P04JTE1,Y12H0000126P04,Y12H0000126,8,500,8,510,15,925,10,0,10,0.95,Whittlesea (C),Whittlesea (C),Primary School,Vehicle Passenger,0.95,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,415,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Vehicle Passenger,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Primary School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Education,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y12H0000126P04S01,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,112.3,
10,Y12H0000224P03JTE1,Y12H0000224P03,Y12H0000224,8,490,8,501,15,918,11,0,11,4.97,Frankston (C),Frankston (C),Secondary School,Vehicle Passenger,4.97,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,417,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Vehicle Passenger,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Secondary School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Education,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y12H0000224P03S01,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,160.79,
