"mode","travel_bounds","trips","full_distance_km","gpc_distance_km","full_co2e_tons","gpc_co2e_tons","year"
"AUTOMOBILE","IN-BOUNDARY","50770169","215556108","215556108","64988.5053","64988.5053","2022"
"AUTOMOBILE","IN-BOUNDARY","47926676","199129149","199129149","60035.9037","60035.9037","2021"
"AUTOMOBILE","IN-BOUNDARY","42581643","172026997","172026997","51864.8138","51864.8138","2020"
"AUTOMOBILE","IN-BOUNDARY","49253847","244754272","244754272","73791.5267","73791.5267","2019"
"AUTOMOBILE","IN-BOUNDARY","44576282","257068745","257068745","77504.2525","77504.2525","2018"
"AUTOMOBILE","INBOUND","53335183","881084709","440542354.5","265640.2492","132820.1246","2022"
"AUTOMOBILE","INBOUND","47721855","762541651","381270825.5","229900.4308","114950.2154","2021"
"AUTOMOBILE","INBOUND","41319805","629573795","314786897.5","189811.647","94905.8235","2020"
"AUTOMOBILE","INBOUND","51316040","897902091","448951045.5","270710.5603","135355.2801","2019"
"AUTOMOBILE","INBOUND","48094325","877192491","438596245.5","264466.7999","132233.3999","2018"
"AUTOMOBILE","OUTBOUND","53215956","869695584","434847792","262206.5158","131103.2579","2022"
"AUTOMOBILE","OUTBOUND","47678446","756229605","378114802.5","227997.3976","113998.6988","2021"
"AUTOMOBILE","OUTBOUND","41418660","627062598","313531299","189054.5405","94527.2702","2020"
"AUTOMOBILE","OUTBOUND","51131096","891089343","445544671.5","268656.5692","134328.2846","2019"
"AUTOMOBILE","OUTBOUND","47986392","872862642","436431321","263161.3837","131580.6918","2018"
"AUTOMOBILE","TOTAL","157321308","1966336401","1090946254.5","592835.2703","328911.8878","2022"
"AUTOMOBILE","TOTAL","143326977","1717900405","958514777","517933.7322","288984.818","2021"
"AUTOMOBILE","TOTAL","125320108","1428663390","800345193.5","430731.0013","241297.9075","2020"
"AUTOMOBILE","TOTAL","151700983","2033745706","1139249989","613158.6562","343475.0914","2019"
"AUTOMOBILE","TOTAL","140656999","2007123878","1132096311.5","605132.4361","341318.3443","2018"
"BUS","IN-BOUNDARY","469713","2281634","2281634","1734.3198","1734.3198","2022"
"BUS","IN-BOUNDARY","368309","1877567","1877567","1427.1797","1427.1797","2021"
"BUS","IN-BOUNDARY","445483","2424437","2424437","1842.8675","1842.8675","2020"
"BUS","IN-BOUNDARY","450795","2150569","2150569","1634.6945","1634.6945","2019"
